License
0BSD
"AFLv2.1,BSD"
Apache-2.0
BSD
BSD-2-Clause
BSD-3-Clause
CC0-1.0
CC-BY-3.0
CC-BY-3.0
CC-BY-4.0
ISC
MIT AND Apache-2.0
MIT AND BSD-3-Clause
MIT AND CC-BY-3.0
MIT
Public Domain
Unlicense
WTFPL
BSD*
(MIT AND Apache-2.0)
(MIT AND BSD-3-Clause)
(MIT AND CC-BY-3.0)
